popularity_rank,returned_spotify_id,wikidata_qid,spotify_name,monthly_listeners,followers,origin_cluster,origin_resolution,spotify_biography_present,biography_keyword_review,matching_musicbrainz_person,other_person_ids_in_musicbrainz_links,eligibility_review,eligibility_source_url,final_status,final_origin,manual_status,review_priority,mapping_tier,fua_code
109,72VzFto8DYvKHocaHYNWSi,Q1368881,Hot Chocolate,5017699,393132,London,editorial_city_cluster,True,False,,,,,confirmed,West Hampstead,confirmed,high,strict,UK001F
110,2m62cc253Xvd9qYQ8d2X3d,Q533478,The Alan Parsons Project,4991688,1804870,London,reviewed_override,True,False,,,,,corrected,London,corrected,high,strict,UK001F
111,3jNkaOXasoc7RsxdchvEVq,Q1067983,Chase & Status,4913546,1285130,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
112,3sFhA6G1N0gG1pszb6kk1m,Q622988,Wings,4863252,1356305,,unresolved_generic_or_missing,True,False,,,,,evidence_for_missing_claim,London,not_reviewed,high,excluded_no_defensible_fua,
113,3w4VAlllkAWI6m0AV0Gn6a,Q493042,Hurts,4854547,380397,Manchester,reported_place,True,False,,,,,confirmed,Manchester,not_reviewed,,strict,UK008F
114,0z5DFXmhT4ZNzWElsM7V89,Q484885,Erasure,4832016,1261829,,unresolved_generic_or_missing,True,False,,,,,evidence_for_missing_claim,London,not_reviewed,high,excluded_no_defensible_fua,
115,0TcYeHEK9sBtv7xPbKhzHz,Q1089523,Chumbawamba,4700579,225650,Burnley,reported_place,True,False,,,,,contested,Burnley,contested,high,strict,UK050F
116,0uAjBatvB4ubpd4kCfjmNt,Q300409,A Flock Of Seagulls,4670482,774464,Liverpool,reported_place,True,False,,,,,confirmed,Liverpool,not_reviewed,,strict,UK006F
117,72X6FHxaShda0XeQw3vbeF,Q1502037,Slowdive,4658345,1560399,Reading,reported_place,True,False,,,,,confirmed,Reading,not_reviewed,,strict,UK552F
118,0sHeX8oQ6o7xic3wMf4NBU,Q1120684,Supergrass,4645328,719253,Oxford,reviewed_override,True,False,,,,,corrected,Oxford,corrected,,strict,UK560F
119,74oJ4qxwOZvX6oSsu1DGnw,Q203736,Cream,4518268,2788886,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
120,1DFr97A9HnbV3SKTJFu62M,Q19697,Motörhead,4453633,4680274,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
121,7AC976RDJzL2asmZuz7qil,Q184386,Yes,4447983,2203167,London,reported_place,True,True,,,,,confirmed,London,not_reviewed,,strict,UK001F
122,6fvN9GmMCVKb5LY0WsnjFP,Q683695,Nazareth,4341186,1724966,Dunfermline,reported_place,True,False,,,,,confirmed,Dunfermline,not_reviewed,,reviewed_extended,UK007F
123,6FQqZYVfTNQ1pCqfkwVFEa,Q728958,Foals,4201622,1504353,Oxford,reported_place,True,False,,,,,confirmed,Oxford,not_reviewed,,strict,UK560F
124,48nHO1cuTbpx4ELhChsxX1,Q58884625,Sidewalks and Skeletons,4198181,530960,,unresolved_generic_or_missing,True,True,Sidewalks and Skeletons,,verified_solo_project,https://ra.co/dj/sidewalksandskeletons/biography,unresolved,,not_reviewed,medium,excluded_no_defensible_fua,
125,6IZ4ctovY9dl7bgHClAvKJ,Q52397902,LSD,4191261,387536,,unresolved_generic_or_missing,True,False,,,,,unresolved,,not_reviewed,medium,excluded_no_defensible_fua,
